Date,Close,High,Low,Open,Volume
,NVDA,NVDA,NVDA,NVDA,NVDA
2025-11-17,186.5795135498047,188.9792438771453,184.29976516169708,185.9495778546046,173628900
2025-11-18,181.340087890625,184.7797126313021,179.6302689297591,183.3598703733926,213598900
2025-11-19,186.49952697753906,187.8393762025218,182.8099296469334,184.76970592228736,247246400
2025-11-20,180.6201629638672,195.97847686300787,179.83025642841662,195.92847930218133,343504800
2025-11-21,178.86036682128906,184.5397359279593,172.91100782704066,181.22010834266524,346926200
2025-11-24,182.52996826171875,183.4798609481747,176.4606271183833,179.47030653663683,256618300
2025-11-25,177.80047607421875,178.14043506786686,169.53138015579162,174.89079203873564,320600300
2025-11-26,180.24020385742188,182.8899220695924,178.22043661727494,181.6100638206842,183852000
2025-11-28,176.98056030273438,179.2703020816569,176.48061521713345,178.99033405428943,121332800
2025-12-01,179.90025329589844,180.2802164760195,173.66093259662904,174.7408159055669,188131000
2025-12-02,181.44007873535156,185.63961443898967,179.98023235974816,181.7400335835938,182632200
2025-12-03,179.57028198242188,182.4299686383783,179.09033894604931,181.06012391136443,165138000
2025-12-04,183.37008666992188,184.51002440204854,179.95027347354184,181.61017209543593,167364900
2025-12-05,182.40013122558594,184.6500094505641,180.9002124089338,183.88004685245298,143971100
2025-12-08,185.5399627685547,187.98982714518382,182.39012406320575,182.6301165694494,204378100
2025-12-09,184.95999145507812,185.70995086836587,183.31008684903045,185.54995586495326,144719700
2025-12-10,183.77005004882812,185.46995496958337,182.03013874897007,184.9599880707457,162785400
2025-12-11,180.92019653320312,181.31019006496976,176.61043233199788,180.27023782951787,182136600
2025-12-12,175.01052856445312,182.81010931847595,174.61054106596097,181.10019518559332,204274900
2025-12-15,176.28045654296875,178.4103461991077,175.02053019793698,177.93037643785232,164775600
2025-12-16,177.71038818359375,178.48035080582065,174.8905333961456,176.25046044282257,148588100
2025-12-17,170.93075561523438,176.12047730871902,170.30078481189744,176.0904801521757,222775500
2025-12-18,174.1305694580078,176.14045512074784,171.8107030234881,174.52054772862792,176096000
2025-12-19,180.98020935058594,181.4401759084778,176.3304518785618,176.6604358481607,324925900
2025-12-22,183.6800537109375,184.15002947616998,182.34012994783166,183.91003698180788,129064400
2025-12-23,189.19976806640625,189.31975669034466,182.89009670029142,182.96010023623109,174873600
2025-12-24,188.59979248046875,188.899779295176,186.57989753660073,187.92983057380172,65528500
2025-12-26,190.51968383789062,192.67957056140054,187.98982202804387,189.9097162518428,139740300
2025-12-29,188.20980834960938,188.749772392931,185.8999358866866,187.6998414610299,120006100
2025-12-30,187.52984619140625,188.9797799436452,186.91987858592935,188.22982052336855,97687300
2025-12-31,186.4899139404297,190.54969193131708,186.47991997410415,189.55975523635485,120100500
2026-01-02,188.83978271484375,192.91954841717475,188.24980305842183,189.82971935613102,148240500
2026-01-05,188.1098175048828,193.61952916959007,186.13992286460274,191.74961996436147,183529700
2026-01-06,187.22987365722656,192.15959956375178,186.80989821500853,190.50969495089785,176862600
2026-01-07,189.09976196289062,191.35963411085106,186.54989697142676,188.55979791265688,153543200
2026-01-08,185.0299835205078,189.53974931649188,183.70006889406122,189.09977067708235,172457000
2026-01-09,184.84999084472656,186.32990643372668,183.66005283935564,185.06998015284367,131327500
2026-01-12,184.92999267578125,187.10986736077922,183.010098425574,183.2100845491025,137968500
2026-01-13,185.79994201660156,188.0998205983224,183.3900687774691,184.9899882929175,160128900
2026-01-14,183.1300811767578,184.45001701406107,180.79021156477043,184.3100252062831,159586100
2026-01-15,187.03988647460938,189.6897370464893,186.31992419508657,186.48991316970114,206188600
2026-01-16,186.21990966796875,190.4296883714215,186.06992389502736,189.06976141755646,187967200
2026-01-20,178.06036376953125,182.37012791600927,177.60038196777572,181.89014292514364,223345300
2026-01-21,183.31008911132812,185.3699752173061,178.3903418724365,179.04031586008543,200381000
2026-01-22,184.82998657226562,186.15991637882954,183.92003219020145,184.7399951080077,139636600
2026-01-23,187.6598358154297,189.58973923983262,186.80989099781206,187.48984685190618,142748100
2026-01-26,186.4599151611328,189.1097657209082,185.97994539629804,187.1498802806874,124799600
2026-01-27,188.50979614257812,189.9897117301412,185.6899415183402,187.22986667366473,143711600
2026-01-28,191.5096435546875,192.33960048487265,189.82972650403363,191.25965707901594,148552700
2026-01-29,192.49957275390625,193.46952146246272,186.04992498376654,191.32963792417547,171764400
2026-01-30,191.11965942382812,194.47947816452233,189.45974561417185,191.19965692455457,179489500
2026-02-02,185.59996032714844,190.2897090701948,184.87000408758857,187.1898706566695,165794100
2026-02-03,180.33023071289062,186.25991753048794,176.22045266395375,186.22992037566058,204019600
2026-02-04,174.18057250976562,179.57028010697434,171.90069716024271,179.45029148582987,207014100
2026-02-05,171.87069702148438,176.81043194569037,171.020736948564,174.92051964769362,206312900
2026-02-06,185.39996337890625,186.98987361565233,174.59055120100808,176.6804343618602,231346200
2026-02-09,190.0297088623047,193.64952333361757,183.9400420976916,184.25002288009932,196387400
2026-02-10,188.52978515625,192.46957427391544,188.10980972728564,191.36964298604585,136764800
2026-02-11,190.0397186279297,193.24953637655122,188.75978911487715,192.43958265041238,144192700
2026-02-12,186.9298858642578,193.5995230748733,186.49990120030046,193.01955263160718,189932500
2026-02-13,182.80010986328125,187.4898586352177,181.58017462912434,187.4698554447334,161888000
2026-02-17,184.95999145507812,187.13986615921206,179.17029624003743,181.74016448672575,162276900
2026-02-18,187.96981811523438,190.3596881055438,186.7498829478333,188.73978069812654,164749100
2026-02-19,187.88983154296875,188.41980165789556,185.64996245587088,187.04988063530703,126554500
2026-02-20,189.8097381591797,190.31970507557438,185.92994318264132,186.5599139825128,178422300
2026-02-23,191.53964233398438,193.93950641757905,189.56974766836524,191.3896412925324,171584800
2026-02-24,192.83956909179688,193.75951747058733,187.38985183856119,191.47964208446245,175123600
2026-02-25,195.54940795898438,197.61930319203404,193.77949953248776,194.43946745531196,250637100
2026-02-26,184.87998962402344,194.27947461393586,184.31002841741252,194.25948668244985,360807900
2026-02-27,177.180419921875,182.5801217841234,176.3704661683341,181.2401979138715,311636500
2026-03-02,182.47012329101562,183.45008125730604,174.63055110847353,175.00052620838028,209095300
2026-03-03,180.04025268554688,180.8901975001603,176.91041730394699,178.4803396065267,178099400
2026-03-04,183.03009033203125,184.69000418349444,180.0502558302461,180.4302401537762,177731200
2026-03-05,183.330078125,184.05004039552568,177.87038204113773,181.1601973472636,198779700
2026-03-06,177.8103790283203,182.7500987288974,176.81043317462274,179.83025866705609,189021900
2026-03-09,182.64010620117188,182.90010189125664,175.55049367782217,176.82042919903367,177213600
2026-03-10,184.760009765625,186.42991760168223,182.00014929336922,182.39012758732315,179118500
2026-03-11,186.02999877929688,187.6199951171875,184.4499969482422,185.91000366210938,145280400
2026-03-12,183.13999938964844,184.94000244140625,181.75,184.0500030517578,155762700
2026-03-13,180.25,186.08999633789062,179.94000244140625,184.9199981689453,160988400
2026-03-16,183.22000122070312,188.8800048828125,181.41000366210938,182.97000122070312,217307400
2026-03-17,181.92999267578125,185.39999389648438,181.67999267578125,185.05999755859375,182497800
2026-03-18,180.39999389648438,183.3800048828125,180.3300018310547,182.47999572753906,156683100
2026-03-19,178.55999755859375,179.97999572753906,175.7899932861328,178.00999450683594,170968500
2026-03-20,172.6999969482422,178.25999450683594,171.72000122070312,178.0,241323500
2026-03-23,175.63999938964844,178.3699951171875,174.75999450683594,177.25999450683594,182836300
2026-03-24,175.1999969482422,176.22000122070312,173.97999572753906,174.8300018310547,147667800
2026-03-25,178.67999267578125,181.22000122070312,176.85000610351562,177.10000610351562,162602100
2026-03-26,171.24000549316406,176.50999450683594,171.13999938964844,176.07000732421875,186152200
2026-03-27,167.52000427246094,170.97000122070312,167.00999450683594,170.0,196212700
2026-03-30,165.1699981689453,169.4499969482422,164.27000427246094,168.77999877929688,185627000
2026-03-31,174.39999389648438,174.6199951171875,166.9600067138672,166.97000122070312,226181300
2026-04-01,175.75,177.3699951171875,174.75,176.0,168132000
2026-04-02,177.38999938964844,177.49000549316406,171.3699951171875,172.17999267578125,143143200
2026-04-06,177.63999938964844,177.7899932861328,175.75999450683594,177.16000366210938,107564300
2026-04-07,178.10000610351562,178.22999572753906,173.66000366210938,175.72999572753906,132534900
2026-04-08,182.0800018310547,185.25999450683594,180.3000030517578,184.5,147732700
2026-04-09,183.91000366210938,184.0800018310547,180.6199951171875,181.83999633789062,116428500
2026-04-10,188.6300048828125,190.0,184.3000030517578,184.30999755859375,160459500
2026-04-13,189.30999755859375,189.66000366210938,185.74000549316406,186.02999877929688,133648200
2026-04-14,196.50999450683594,196.50999450683594,190.77000427246094,190.83999633789062,161307000
2026-04-15,198.8699951171875,200.39999389648438,195.74000549316406,196.5399932861328,185338400
2026-04-16,198.35000610351562,199.85000610351562,195.80999755859375,197.42999267578125,133800000
2026-04-17,200.64500427246094,201.67999267578125,199.27000427246094,199.8800048828125,57192535
